metric,value
cells_total,148
scored_cells,119
evaluation_no_score_cells,0
completed_no_score_cells,0
evaluation_bad_score_cells,0
law_compilation_cells,10
other_failure_cells,19
accuracy_decisive_over_scored,0.984375
llm_eval_call_count,1098
llm_estimated_total_cost_usd,

run_id,direct_json_ir_translate,direct_json_ir_no_translate,le_json_ir_translate,le_json_ir_no_translate
accuracy_decisive (scored cells only)
run_001,1.0,1.0,law_compilation,1.0
run_002,1.0,0.0,1.0,1.0
run_003,0.0,law_compilation,kb_idp_parse,kb_idp_parse
run_004,completed_with_errors,completed_with_errors,completed_with_errors,completed_with_errors
run_005,1.0,1.0,1.0,0.0
run_006,process_error,1.0,law_compilation,kb_idp_parse
run_007,1.0,1.0,1.0,1.0
run_008,1.0,completed_with_errors,0.0,law_compilation
run_009,1.0,1.0,1.0,kb_idp_parse
run_101,1.0,1.0,1.0,1.0
run_102,completed_with_errors,completed_with_errors,completed_with_errors,completed_with_errors
run_103,1.0,1.0,law_compilation,law_compilation
run_104,process_error,1.0,process_error,1.0
run_105,0.0,law_compilation,0.0,0.0
run_106,1.0,1.0,1.0,1.0
run_107,1.0,1.0,1.0,1.0
run_108,process_error,0.0,0.0,0.0
run_109,0.0,1.0,1.0,completed_with_errors
run_110,0.0,1.0,1.0,1.0
run_111,1.0,0.0,0.0,0.0
run_112,0.0,0.0,0.0,0.0
run_113,0.0,0.0,0.0,kb_idp_parse
run_114,1.0,1.0,1.0,1.0
run_115,0.0,0.0,0.0,kb_idp_parse
run_116,0.0,0.0,0.0,kb_idp_parse
run_117,1.0,1.0,1.0,kb_idp_parse
run_118,law_compilation,1.0,1.0,0.0
run_119,1.0,0.0,kb_idp_parse,kb_idp_parse
run_120,process_error,1.0,kb_idp_parse,kb_idp_parse
run_201,1.0,1.0,1.0,1.0
run_202,0.0,0.0,0.0,0.0
run_203,process_error,0.0,law_compilation,0.0
run_204,0.0,0.0,0.0,0.0
run_205,0.0,0.0,0.0,0.0
run_206,0.0,1.0,1.0,1.0
